I Can Get It for You Wholesale,20th Century Fox,United States of America
Francis Goes to the Races,Universal International Pictures,United States of America
Little Big Horn,Bali Productions Inc.,United States of America
Circle of Danger,RKO Radio Pictures,United States of America
Circle of Danger,Coronado Productions,United States of America
Behave Yourself!,Wald/Krasna Productions,United States of America
Bee on Guard,Walt Disney Productions,United States of America
The Magic Box,Festival Film Productions,United States of America
Hard  Fast and Beautiful,The Filmakers,United States of America
Rooty Toot Toot,Columbia Pictures,United States of America
Rooty Toot Toot,United Productions of America (UPA),United States of America
Mask of the Avenger,Columbia Pictures,United States of America
The Hoodlum,Jack Schwarz Productions,United States of America
Tweety's S.O.S.,Warner Bros. Pictures,United States of America
Under the Gun,Universal International Pictures,United States of America
Corn Chips,Walt Disney Productions,United States of America
Sealed Cargo,RKO Radio Pictures,United States of America
Lullaby of Broadway,Warner Bros. Pictures,United States of America
Panta Rhei,BBDD Productions,Spain
Home Made Home,Walt Disney Pictures,United States of America
Angels in the Outfield,Metro-Goldwyn-Mayer,United States of America
Unknown World,Lippert Pictures,United States of America
Daredevil Droopy,BBDD Productions,Spain
The Strange Door,Universal International Pictures,United States of America
Ikiru,Toho Company  Ltd.,Japan
Singin' in the Rain,Metro-Goldwyn-Mayer,United States of America
High Noon,Stanley Kramer Productions,United States of America
High Noon,United Artists,United States of America
The Quiet Man,Republic Pictures,United States of America
Umberto D.,Amato Film,United States of America
Umberto D.,Rizzoli Film,United States of America
Umberto D.,Produzione Films Vittorio De Sica,United States of America
Limelight,Celebrated Productions,United States of America
The Bad and the Beautiful,Metro-Goldwyn-Mayer,United States of America
Bend of the River,Universal International Pictures,United States of America
Ivanhoe,Metro-Goldwyn-Mayer,United States of America
The Greatest Show on Earth,Paramount,United States of America
Viva Zapata!,20th Century Fox,United States of America
Rabbit Seasoning,Warner Bros. Pictures,United States of America
Monkey Business,20th Century Fox,United States of America
The White Sheik,P.D.C.,United States of America
The White Sheik,OFI,United States of America
The Little World of Don Camillo,Produzione Film Giuseppe Amato,United States of America
The Little World of Don Camillo,Rizzoli Editore,United States of America
The Little World of Don Camillo,Francinex,France
The Life of Oharu,Koi Productions,United States of America
The Life of Oharu,Shintoho Company,Japan
Forbidden Games,Silver Films,United States of America
The Crimson Pirate,Hecht-Lancaster Productions,United States of America
The Narrow Margin,RKO Radio Pictures,United States of America
Pluto's Christmas Tree,RKO Radio Pictures,United States of America
Pluto's Christmas Tree,Walt Disney Productions,United States of America
Kansas City Confidential,Associated Players & Producers,United States of America
Clash by Night,RKO Radio Pictures,United States of America
Clash by Night,Wald/Krasna Productions,United States of America
Europe '51,Ponti-De Laurentiis Cinematografica,United States of America
Le Plaisir,Stera Films,United States of America
Le Plaisir,Compagnie Commerciale Française Cinématographique (CCFC),United States of America
Moulin Rouge,United Artists,United States of America
Moulin Rouge,Romulus Films,United States of America
Scaramouche,Loew's,United States of America
Scaramouche,Metro-Goldwyn-Mayer,United States of America
Don't Bother to Knock,20th Century Fox,United States of America
Against All Flags,Universal International Pictures,United States of America
The Snows of Kilimanjaro,20th Century Fox,United States of America
My Cousin Rachel,20th Century Fox,United States of America
Androcles and the Lion,RKO Radio Pictures,United States of America
Come Back  Little Sheba,Paramount,United States of America
Lambert the Sheepish Lion,Walt Disney Productions,United States of America
Rancho Notorious,Fidelity Pictures Corporation,United States of America
Rancho Notorious,RKO Radio Pictures,United States of America
